No,제목,회사,지역,Link
1,기구설계엔지니어,(주)프로써치코리아,경기 수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603030002960&src=etc*search
2,장비·기구설계&3D설계,아이엠에스(주),경기 평택시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602110000846&src=etc*search
3,기구설계/ 전장설계 경력직 채용,(주)브레인커머스,경북 구미시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160002473&src=etc*search
4,"기계설계, 기구설계 외 신입/경력  채용",신명 이엔지,대구 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603090002724&src=etc*search
5,판금설계/기구설계 경력자 채용,흥부산업(주),인천 계양구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310002066&src=etc*search
6,[중견사]기구설계(챔버설계)/대리-차장급,(주)피플스카우트,충남 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230000309&src=etc*search
7,(주)휴텀 기구설계 경력 채용,주식회사 휴텀,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240000211&src=etc*search
8,반도체 장비- 장비설계(기구설계) (과장-차장급),자바스서치 주식회사,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603290000198&src=etc*search
9,반도체 또는 디스플레이 장비 기구설계,비전서치,경기 화성시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603210000125&src=etc*search
10,[ 기구설계 ] 코스닥 중견 바이오기업 (대전 유성),(주)더라이징스타,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160005504&src=etc*search
11,모터 기구설계 및 조립 공정총괄 / 팀장,탑커리어인사이트,경기 부천시 원미구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010003587&src=etc*search
12,기구설계  대리/과장급 경력직 채용,(주)블루로봇,충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602070000282&src=etc*search
13,"가전제품 기구설계, 성능 설계자 모집(공기청정기등)",두영실업(주),광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180003035&src=etc*search
14,[안성] 반도체장비 기구설계(대리-차장급),시니어앤파트너즈,경기 안성시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250000300&src=etc*search
15,[정수기/생활가전 수출기업] 기구설계 (과장-부장급),(주)프로써치코리아,인천 남동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270003234&src=etc*search
16,"기구제작,FA 설계(캐드가능자)",(주)대림로봇,경남 김해시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020001352&src=etc*search
17,연구소 (기구설계/JIG 개발/CAD) 경력 사원 채용,(주)캔탑스,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250000272&src=etc*search
18,[LG CNS] 물류자동화솔루션 기구/양산설계,(주)엘지씨엔에스,서울 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603110000133&src=etc*search
19,"기구설계, 냉·난방기 외 경력  채용",(주)써치포리더스,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603040001025&src=etc*search
20,[비즈테크아이] 공정물류 기구설계 엔지니어 채용,주식회사 비즈테크아이,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240000177&src=etc*search
21,"기구설계  (매출 5000억, 코스닥 반도체 장비 제조사)",굿커리어,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004958&src=etc*search
22,기업부설연구소(기구설계) 직원 모집.,(주)원앤유엔씨테크,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230004449&src=etc*search
23,기구/기계 및 자동화 장비 설계 경력자 모집,주식회사 웨코,충남 아산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002136&src=etc*search
24,[LG CNS] 공정물류 기구설계/구축 분야 모집(경력),(주)엘지씨엔에스,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603110000134&src=etc*search
25,상장 대기업 기구설계 경력 우대 채용합니다,(주)에이치앤티어세스,서울 서초구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270002109&src=etc*search
26,기계/기구/자동화 장비 설계 엔지니어  경력자 모집,주식회사 웨코,충남 아산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250003384&src=etc*search
27,[중견기업]  ( Gas Scrubber )  기구설계 ( 10년 이상 ~ ),(주)에이치알컨설팅그룹,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000246&src=etc*search
28,머신비젼 조명 및 컨트롤러  기구설계  및 아트웍 경력 직원 모집,(주)와이앤에스비젼,경기 화성시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602030003589&src=etc*search
29,[정광산업기계 서울사무소] 기계/기구설계(경력직) 채용,정광산업기계,서울 종로구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130001351&src=etc*search
30,"의료기기 기구설계 연구팀 (신입,경력) 모집",(주)비겐의료기,경기 안성시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002976&src=etc*search
31,[중견기업]  ( Gas Scrubber )  기구설계 ( 3년 이상 ~ ),(주)에이치알컨설팅그룹,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270000272&src=etc*search
32,[그룹계열 보일러 제조사] 기구설계  대리~차장,(주)하이스트컨설팅그룹,서울 구로구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603070000273&src=etc*search
33,매출액 7천억그룹사 반도체장비 기구설계,탑커리어인사이트,경기 수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000207&src=etc*search
34,[제이솔루션] 기업부설연구소 신입/경력 기구 설계 연구 인력 채용,(주)제이솔루션,경기 평택시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602120000220&src=etc*search
35,반도체장비 기구설계 경력인재 채용  - 반도체장비 전문기업,에스에프인촌 주식회사,경기 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240003818&src=etc*search
36,기구개발 및 설계 (경력 3년-5년) - 생활환경 위생 대기업,(주)잡뉴스솔로몬서치,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603290000038&src=etc*search
37,반도체(자동화)검사 장비 기구 설계 신입 및 경력자 구인,(주)에이치테크,경기 안양시 동안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300002316&src=etc*search
38,반도체장비 중견기업 디스플레이 기구설계 경력직 (6년-12년 경력) 정규직 채용,프로페셔날핸즈인핸즈코리아(주),경기 용인시 기흥구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603030001384&src=etc*search
39,[우수인증 제조기업] 기구 담당 (기구개발),(주)에임즈인터내셔널코리아,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602120003571&src=etc*search
40,"(국내 방산 유도무기 제조 전문기업)  설계 (모터/H/W,F/W/기구) : 3명",엘림써치,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010002075&src=etc*search
41,[(청주고용센터) 채용대행] ㈜코엠에스 본사 장비기구설계팀(기계공학기술자) 직원 모집,주식회사코엠에스,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310002372&src=etc*search
42,"광학설계, 기구설계, 메타옵틱, 광통신설계 분야에 열정을 가진 기술영업 및 기술지원 엔지니어를 찾습니다.",(주)모던하이테크,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010001070&src=etc*search
43,"기구 및 요소기구 개발 (환경가전, 경력 5년이상) - 생활환경 위생 대기업",(주)잡뉴스솔로몬서치,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603290000039&src=etc*search
44,조명기구 영업구인,우리엘이디,대전 대덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200003824&src=etc*search
45,기구필라테스 강사님 모십니다.,이즈 스포츠클럽,경남 창원시 마산회원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602100000933&src=etc*search
46,기구물 용접원 채용 모집,주식회사 세창산업,경기 이천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240001847&src=etc*search
47,"소방,피난기구 제조 정규직 사원",(주)서한에프앤씨,충북 충주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300003827&src=etc*search
48,"전자기기 및 전자의료기기 (회로, 기구개발)",(주)브레인테크,경기 수원시 장안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010001085&src=etc*search
49,사우디 놀이기구 설치 현장 영어통역 구인,(주)월드엔지니어링,경남 김해시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200003057&src=etc*search
50,반도체 장비 전장 및 기구조립,(주) 나우테크,경기 안성시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310001380&src=etc*search
51,[코스닥상장기업] 연구소/전장용 카메라 기구 파트. 대리과장급,드림에이치알,경기 성남시 수정구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603030002902&src=etc*search
52,"기계설계, 자동화장비설계",(주)다솔이엔지,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230001428&src=etc*search
53,건축자재  위생기구(수전금구)업체 영업사원 모집,(주) 이엘시스템,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603060000293&src=etc*search
54,LED 조명 기구 생산 전문가를 찾습니다.,(주)소룩스,충남 공주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010001418&src=etc*search
55,조명기구 설치 및 실내인테리어전기공사 직원모집,(주)대도산전,전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240002894&src=etc*search
56,운동기구 유지 관리 전문가를 채용합니다.,개선스포츠,경북 포항시 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240000786&src=etc*search
57,기계 기구조립 신입 및 경력직 제조 엔지니어 모집,메카테크,경력무관,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230004994&src=etc*search
58,"치공구설계 (기계설계,CAD)",드림맥,경력 3년↑,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190002881&src=etc*search
59,로봇 설계 엔지니어 채용,엠에프알,대구 달성군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240002523&src=etc*search
60,반도체 자동화장비 코스닥 우량기업 연구소 기구개발  주임.대리 (천안시 서북구),프로페셔날핸즈인핸즈코리아(주),충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000001&src=etc*search
61,반도체 장비회사 설계,비전서치,경기 수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603210000025&src=etc*search
62,자동화 장비 설계 엔지니어 모집,E.F ENGIINEERING,경기 안산시 단원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602050000338&src=etc*search
63,스텐레스 상업용 주방기구 제조업체 생산보조원 채용,우신주방물류,전북 전주시 덕진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250001404&src=etc*search
64,기구세척 정리 해줄 분 모집합니다,의령치과의원,경남 의령군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250000371&src=etc*search
65,자동화  라인 컨베이어 기계 설계,(주) 통일정밀기계,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270000846&src=etc*search
66,ESS Enclosure(Container) 구조 설계,HR컨설팅(주),경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602260002082&src=etc*search
67,설계,주식회사 아이제이,울산 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310002483&src=etc*search
68,"전기 설계, 배전반 설계,캐드원",청호전기주식회사,부산 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260002707&src=etc*search
69,건축설계기사/토목설계기사 모집,대흥건축사사무소,경남 진주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000779&src=etc*search
70,3D설계 직원모집,(주)유나,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260001210&src=etc*search
71,로봇 하드웨어 개발(회로 설계),(주)아이솔,대구 달서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603280000244&src=etc*search
72,차량튜닝/기계설계/개발 엔지니어 모집,트랩오버랜드,서울 중랑구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000816&src=etc*search
73,[ 회로설계 ],주식회사 메타써치,대전,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270003176&src=etc*search
74,기계설계직 모집,(주)우원티씨에스,경기 시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180002553&src=etc*search
75,[부품설계] 설계 개발 담당자 정규직 채용,주식회사 케이엔에스아이엔티,인천 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020001992&src=etc*search
76,인테리어 설계 디자이너 모집 합니다 설계/감리,수원디자인,경기 수원시 팔달구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010003429&src=etc*search
77,"설계(단지설계,교통) 및 시공(건축) 직원 모집",(주)서영엔지니어링,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230000316&src=etc*search
78,[신입/경력모집] 배전반설계/자동제어설계/PLC프로그램설계,탑인더스트리,경남 김해시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270003011&src=etc*search
79,토목설계사/건축설계사 및 보조,대흥엔지니어링,경남 진주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000528&src=etc*search
80,조경 설계,(주)비스타하임,전북 전주시 완산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004225&src=etc*search
81,"기계설계 / 개발팀, 장비설계 정규직 경력사원 모집",와이투라인(주),대전 대덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130001514&src=etc*search
82,"전기전자 제어 연구개발, 설계",(주)에이치알컨설팅그룹,경남 창원시 성산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230001132&src=etc*search
83,"토목설계기술자 ,도시계획설계기술자 구인",(주)신화측량설계공사,전남 나주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200000734&src=etc*search
84,기계 금속 설계,하이콘,인천 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000641&src=etc*search
85,변압기 설계팀장  (전기설계 / 부장-이사급),자바스서치 주식회사,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602060001923&src=etc*search
86,기계 설계 채용,토탈산업 주식회사,전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260000602&src=etc*search
87,기계 설계,(주)동화정공,경기 시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250001164&src=etc*search
88,자동화장비 설계,(주)에스엔티,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000941&src=etc*search
89,설계(판금 관련) 경력자 채용 공고,(주)오성엔지니어링,경기 시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000525&src=etc*search
90,금형설계,주식회사 대원몰드,부산 사상구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002788&src=etc*search
